english_word|ipa|russian_word|exportedAt|status|knownAt|s1|s2|s3|family|note
buffet|/ˈbʊfeɪ/|буфет|2026-04-05|known|2026-04-09||The hotel has a breakfast **buffet**.|We ate at the **buffet**.|The **buffet** had many dishes.|
bus|/bɐs/|автобус|2026-04-05|known|2026-04-26||I take the **bus** to work every day.|The **bus** was late again.|We waited for the **bus** in the rain.|
business|/ˈbɪd.nəs/|бизнес|2026-04-05|known|2026-04-09||He runs a small **business**.|**Business** is going well this year.|She studies **business** at college.|
café|/ˈkæfeɪ/|кафе|2026-04-05|learning|||Let's have lunch at a **café**.|There is a nice **café** on the corner.|She reads books in the **café**.|
calendar|/ˈkæl.ən.də/|календарь|2026-04-05|known|2026-04-26||Check the **calendar** for the date.|She marked the day on the **calendar**.|I need a new **calendar** for next year.|
career|/kəˈɹɪə/|карьера|2026-04-05|learning|||She has a successful **career**.|He wants to start a new **career**.|Teaching is a rewarding **career**.|
catalog||каталог|2026-04-05|known|2026-04-26||Look at the products in the **catalog**.|She ordered from the **catalog**.|The **catalog** has 200 pages.|
category|/ˈkætəˌɡɔɹi/|категория|2026-04-05|known|2026-04-26||This book is in the fiction **category**.|Choose a **category** from the list.|There are five **categories**.|
cement|/səˈmɛnt/|цемент|2026-04-05|known|2026-04-26||The wall is made of **cement**.|They used **cement** to fix the road.|The **cement** is still wet.|
center|/ˈsɛn.tə(ɹ)/|центр|2026-04-05|known|2026-04-26||The shop is in the city **center**.|There is a pool in the **center**.|She works at a medical **center**.|
champion|/ˈtʃæmpiən/|чемпион|2026-04-05|known|2026-04-26||He is the world **champion**.|She became a **champion** at 18.|The **champion** won again this year.|
channel|/ˈtʃænəl/|канал|2026-04-05|known|2026-04-26||What **channel** is the film on?|She watches the news **channel**.|This **channel** shows only sports.|
character|/ˈkæɹəktə/|характер|2026-04-05|learning|||He is the main **character** in the film.|She has a strong **character**.|The book has many **characters**.|
check|/t͡ʃɛk/|чек|2026-04-05|known|2026-04-26||Can I have the **check**, please?|She wrote a **check** for the rent.|He paid by **check**.|
chess|/t͡ʃɛs/|шахматы|2026-04-05|known|2026-04-26||He plays **chess** every evening.|**Chess** is a game of strategy.|She taught me to play **chess**.|
chocolate|/ˈt͡ʃɔk(ə)lət/|шоколад|2026-04-05|known|2026-04-26||I love dark **chocolate**.|She bought a box of **chocolate**.|Would you like some **chocolate**?|
cigarette|/sɪ.ɡəˈɹɛt/|сигарета|2026-04-05|known|2026-04-26||He smokes a **cigarette** after lunch.|**Cigarettes** are bad for health.|She quit smoking **cigarettes**.|
class|/klas/|класс|2026-04-05|learning|||Our English **class** starts at nine.|There are 20 students in the **class**.|She is the best in the **class**.|
classic|/ˈklæ.sɪk/|классический|2026-04-05|known|2026-04-26||This is a **classic** film.|She reads **classic** literature.|The song is a real **classic**.|
climate|/ˈklaɪmɪt/|климат|2026-04-05|known|2026-04-26||The **climate** here is warm and dry.|**Climate** change is a big problem.|She prefers a cold **climate**.|
club|/klʌb/|клуб|2026-04-05|known|2026-04-26||He goes to a sports **club** every week.|They opened a new **club** in town.|She joined the book **club**.|
cocktail|/ˈkɒkteɪl/|коктейль|2026-04-05|known|2026-04-26||She ordered a fruit **cocktail**.|He makes great **cocktails**.|The **cocktail** party was fun.|
coffee|/ˈkɑ.fi/|кофе|2026-04-05|known|2026-04-26||I drink **coffee** every morning.|Would you like a cup of **coffee**?|This **coffee** is very strong.|
colleague|/ˈkɒliːɡ/|коллега|2026-04-05|known|2026-04-26||My **colleague** helped me with the report.|She is a friendly **colleague**.|I had lunch with a **colleague**.|
collection|/kəˈlɛkʃən/|коллекция|2026-04-05|learning|||He has a large stamp **collection**.|The museum has a great art **collection**.|She showed us her **collection**.|
comfort|/ˈkʊm.fət/|комфорт|2026-04-05|learning|||This chair gives great **comfort**.|She likes **comfort** and warmth.|The hotel offers modern **comfort**.|
comment|/ˈkɒmɛnt/|комментарий|2026-04-05|learning|||He left a nice **comment** online.|She made a **comment** about the food.|Do you have any **comments**?|
communication|/kəˌmjuːnɪˈkeɪʃən/|коммуникация|2026-04-05|learning|||Good **communication** is very important.|**Communication** between teams is key.|She studies **communication**.|
company|/ˈkʌmp(ə)ni/|компания|2026-04-05|learning|||She works for a big **company**.|The **company** has 500 workers.|He started his own **company**.|
compass|/ˈkʌm.pəs/|компас|2026-04-05|learning|||Use a **compass** to find north.|The **compass** pointed east.|She always carries a **compass**.|
competition|/ˌkɒmpəˈtɪʃən/|конкуренция|2026-04-05|learning|||He won the **competition**.|There is strong **competition** in the market.|She entered a singing **competition**.|
computer|/kəmˈpjuːtə/|компьютер|2026-04-05|learning|||I work on a **computer** all day.|My **computer** is very old.|She bought a new **computer**.|
concert|/ˈkɒnsət/|концерт|2026-04-05|learning|||We went to a **concert** last night.|The **concert** starts at eight.|She plays the piano at **concerts**.|
conflict|/kənˈflɪkt/|конфликт|2026-04-05|learning|||There is a **conflict** between them.|We need to solve this **conflict**.|The **conflict** lasted many years.|
constitution|/ˌkɒnstɪˈtjuːʃən/|конституция|2026-04-05|learning|||The **constitution** protects our rights.|They wrote a new **constitution**.|The **constitution** is very old.|
contact||контакт|2026-04-05|learning|||She is my **contact** at the company.|Keep in **contact** with your friends.|I lost **contact** with him.|
content|/kənˈtɛnt/|контент|2026-04-05|learning|||The **content** of the article is good.|She creates online **content**.|Check the **content** of the box.|
contract|/ˈkɒntɹækt/|контракт|2026-04-05|learning|||He signed a new **contract**.|The **contract** is for two years.|She read the **contract** carefully.|
corridor|/ˈkɒɹɪˌdɔː(ɹ)/|коридор|2026-04-05|learning|||Walk down the **corridor** to the left.|The **corridor** is long and dark.|His office is at the end of the **corridor**.|
credit|/ˈkɹɛdɪt/|кредит|2026-04-05|learning|||She paid by **credit** card.|He has good **credit**.|The bank gave him **credit**.|
crisis|/ˈkɹaɪsɪs/|кризис|2026-04-05|learning|||The country is in a **crisis**.|We need to solve this **crisis**.|The **crisis** affected many people.|
culture|/ˈkʌlt͡ʃə/|культура|2026-04-05|learning|||I love learning about other **cultures**.|Music is part of our **culture**.|The **culture** here is very different.|
database|/ˈdeɪtəˌbeɪs/|база данных|2026-04-05|learning|||The **database** has all the records.|She built a new **database**.|Check the **database** for his name.|
debate|/dɪˈbeɪt/|дебаты|2026-04-05|learning|||There was a long **debate** about the plan.|She won the **debate**.|We had a **debate** in class.|
deficit|/ˈdɛfɪsɪt/|дефицит|2026-04-05|learning|||The country has a big **deficit**.|The budget **deficit** is growing.|They need to reduce the **deficit**.|
democracy|/dɪˈmɒkɹəsi/|демократия|2026-04-05|learning|||**Democracy** is important for freedom.|They fight for **democracy**.|The country became a **democracy**.|
design|/dɪˈzaɪn/|дизайн|2026-04-05|learning|||She studies **design** at college.|I like the **design** of this phone.|He works in web **design**.|
detail|/ˈdiːteɪl/|деталь|2026-04-05|learning|||Please explain in **detail**.|Every **detail** is important.|She noticed a small **detail**.|
dialog|/ˈdaɪəlɒɡ/|диалог|2026-04-05|learning|||The **dialog** in the film is great.|They started a **dialog** about peace.|Read the **dialog** out loud.|
diet|/ˈdaɪət/|диета|2026-04-05|learning|||She is on a healthy **diet**.|A good **diet** is important.|He changed his **diet** last month.|
diploma|/dɪˈpləʊmə/|диплом|2026-04-05|learning|||She got her **diploma** last year.|He has a **diploma** in engineering.|The **diploma** is on the wall.|
disco|/ˈdɪskəʊ/|дискотека|2026-04-05|learning|||They went to a **disco** on Friday.|The **disco** plays loud music.|She loves to dance at the **disco**.|
discount|/dɪsˈkaʊnt/|дисконт/скидка|2026-04-05|learning|||The shop gives a 20% **discount**.|She asked for a **discount**.|Students get a **discount** here.|
doctor|/ˈdɒktə/|доктор|2026-04-05|learning|||I need to see a **doctor**.|The **doctor** said I am fine.|She wants to become a **doctor**.|
document|/ˈdɒkjʊmənt/|документ|2026-04-05|learning|||Sign this **document**, please.|She lost an important **document**.|The **document** is on the desk.|
dollar|/dɔlɚ/|доллар|2026-04-05|learning|||It costs ten **dollars**.|She saved a hundred **dollars**.|The **dollar** is strong today.|
drama|/ˈdɹæmə/|драма|2026-04-05|learning|||She studies **drama** at school.|The **drama** was very exciting.|He acts in **drama** films.|
economy|/iːˈkɒn.ə.mi/|экономика|2026-04-05|learning|||The **economy** is growing slowly.|She studies **economy** at university.|A strong **economy** helps everyone.|
effect|/ɪˈfɛkt/|эффект|2026-04-05|learning|||The medicine had a good **effect**.|What is the **effect** of this change?|The **effect** was immediate.|
element|/ˈɛlɪmənt/|элемент|2026-04-05|learning|||Water is an important **element**.|There are many **elements** in the table.|Time is a key **element** of success.|
emotion|/iˈmoʊʃən/|эмоция|2026-04-05|learning|||She hid her **emotions** well.|The film is full of **emotion**.|He showed no **emotion** at all.|
energy|/ˈɛnəd͡ʒi/|энергия|2026-04-05|learning|||I have a lot of **energy** today.|Solar **energy** is clean.|She drinks coffee for **energy**.|
engineer|/ˌɛnd͡ʒɪˈnɪə/|инженер|2026-04-05|learning|||He works as an **engineer**.|She wants to be an **engineer**.|The **engineer** fixed the machine.|
episode|/ˈɛpɪsəʊd/|эпизод|2026-04-05|learning|||I watched the first **episode**.|The new **episode** comes out today.|Each **episode** is 30 minutes.|
evolution|/ˈɛvəluːʃ(ə)n/|эволюция|2026-04-05|learning|||**Evolution** takes millions of years.|She studies **evolution** in biology.|The **evolution** of technology is fast.|
exam|/ɛɡˈzæm/|экзамен|2026-04-05|learning|||She passed the **exam** with a high mark.|The **exam** is next Monday.|I need to study for the **exam**.|
experiment|/ɛk.ˈspɛ.ɹɪ.mənt/|эксперимент|2026-04-05|learning|||The **experiment** was a success.|She did an **experiment** in the lab.|Let's try a new **experiment**.|
export|/ˈɛks.pɔːt/|экспорт|2026-04-05|learning|||They **export** coffee to Europe.|**Export** is important for the economy.|The country's main **export** is oil.|
fact|/fækt/|факт|2026-04-05|learning|||That is an interesting **fact**.|In **fact**, she is very smart.|Check the **facts** before you write.|
fan|/fæn/|фанат|2026-04-05|learning|||She is a big **fan** of this band.|He is a football **fan**.|The **fans** were very loud.|
fantasy|/ˈfæntəsi/|фантазия|2026-04-05|learning|||She likes **fantasy** books.|That is just a **fantasy**.|The film is a **fantasy** adventure.|
festival|/ˈfɛstəvəl/|фестиваль|2026-04-05|learning|||We went to a music **festival**.|The **festival** lasts three days.|She loves the film **festival**.|
film|[ˈfɪlm̩]|фильм|2026-04-05|learning|||We watched a great **film** yesterday.|This **film** is two hours long.|He makes **films** about nature.|
final|/ˈfaɪ.nəl/|финал|2026-04-05|learning|||This is the **final** game.|She reached the **final** of the contest.|The **final** exam is next week.|
football|[fʷʊʔt̚bɑɫ]|футбол|2026-04-05|learning|||He plays **football** every weekend.|**Football** is very popular here.|We watched a **football** match on TV.|
format|/ˈfɔː(ɹ).mæt/|формат|2026-04-05|learning|||What **format** is the file?|She changed the **format** of the report.|The **format** is easy to read.|
formula|/ˈfɔː.mjʊ.lə/|формула|2026-04-05|learning|||This is a simple math **formula**.|She knows the **formula** for success.|The **formula** is very complex.|
gallery|/ˈɡæləɹi/|галерея|2026-04-05|learning|||We visited an art **gallery**.|The **gallery** has beautiful paintings.|She works at a **gallery**.|
garage|/ɡəˈɹɑː(d)ʒ/|гараж|2026-04-05|learning|||The car is in the **garage**.|He cleaned the **garage** yesterday.|The **garage** is full of boxes.|
generation|/ˌd͡ʒɛnəˈɹeɪʃən/|поколение|2026-04-05|learning|||The younger **generation** uses technology more.|She is from a different **generation**.|Every **generation** is different.|
geography|/dʒɪˈɒɡɹəfi/|география|2026-04-05|learning|||She studies **geography** at school.|**Geography** is about places and maps.|I love **geography** class.|
golf|/ɡɒlf/|гольф|2026-04-05|learning|||He plays **golf** on Sundays.|**Golf** is a quiet sport.|She started learning **golf**.|
group|/ɡɹuːp/|группа|2026-04-05|learning|||We work in a small **group**.|The **group** has ten members.|She joined a study **group**.|
guitar|/ɡɪˈtɑː(ɹ)/|гитара|2026-04-05|learning|||She plays the **guitar** very well.|He bought a new **guitar**.|I want to learn the **guitar**.|
history|/ˈhɪst(ə)ɹi/|история|2026-04-05|learning|||She teaches **history** at school.|**History** is my favourite subject.|The town has a long **history**.|
hobby|/ˈhɒ.bi/|хобби|2026-04-05|learning|||Reading is my **hobby**.|She has many **hobbies**.|What is your **hobby**?|
hockey|/ˈhɒki/|хоккей|2026-04-05|learning|||He plays **hockey** in winter.|**Hockey** is a fast sport.|We watched a **hockey** game.|
horizon|/həˈɹaɪzən/|горизонт|2026-04-05|learning|||The sun set on the **horizon**.|She looked at the **horizon**.|A ship appeared on the **horizon**.|
hotel|/(h)əʊˈtɛl/|отель|2026-04-05|learning|||We stayed at a nice **hotel**.|The **hotel** has a big pool.|She booked a **hotel** for two nights.|
humor|/hjuː.mə(ɹ)/|юмор|2026-04-05|learning|||He has a great sense of **humor**.|**Humor** helps in difficult times.|The book is full of **humor**.|
idea|/ɑeˈdiə̯/|идея|2026-04-05|learning|||That is a great **idea**!|I have no **idea** what to do.|She came up with a new **idea**.|
import|/ˈɪm.pɔːt/|импорт|2026-04-05|learning|||We **import** fruit from Spain.|The **import** of goods is growing.|**Import** taxes are very high.|
industry|/ˈɪndəstɹi/|индустрия|2026-04-05|learning|||The car **industry** is very big.|She works in the food **industry**.|**Industry** creates many jobs.|
information|/ˌɪnfəˈmeɪʃən/|информация|2026-04-05|learning|||I need more **information**.|The **information** is on the website.|She gave me useful **information**.|
innovation|/ˌɪnəˈveɪʃən/|инновация|2026-04-05|learning|||**Innovation** drives the economy.|This is an important **innovation**.|She works in **innovation**.|
instrument|/ˈɪnstɹəmənt/|инструмент|2026-04-05|learning|||She plays a musical **instrument**.|The doctor used a special **instrument**.|The **instrument** is very old.|
interest|/ˈɪntəɹɪst/|интерес|2026-04-05|learning|||I have an **interest** in art.|The story is very **interesting**.|She lost **interest** in the topic.|
internet|/ˈɪntəˌnɛt/|интернет|2026-04-05|learning|||The **internet** is very fast here.|I found it on the **internet**.|We have no **internet** at home today.|
interview|/ˈɪntəvjuː/|интервью|2026-04-05|learning|||She has a job **interview** today.|The **interview** went very well.|He watched an **interview** on TV.|
invest|/ɪnˈvɛst/|инвестировать|2026-04-05|learning|||She wants to **invest** in a business.|They **invest** money in technology.|It is smart to **invest** early.|
jazz|/d͡ʒæz/|джаз|2026-04-05|learning|||She loves **jazz** music.|We went to a **jazz** concert.|He listens to **jazz** every evening.|
jeans|/d͡ʒiːnz/|джинсы|2026-04-05|learning|||She wears **jeans** every day.|I bought new **jeans** yesterday.|These **jeans** are very comfortable.|
journalist|/ˈdʒɜːnəlɪst/|журналист|2026-04-05|learning|||The **journalist** asked many questions.|She works as a **journalist**.|A **journalist** wrote about the event.|
kilometer|/kɪˈlɒmɪtə/|километр|2026-04-05|learning|||The school is one **kilometer** away.|He runs five **kilometers** a day.|It is 100 **kilometers** to the city.|
lamp|/læmp/|лампа|2026-04-05|learning|||Turn on the **lamp**, please.|There is a **lamp** on the table.|The **lamp** in my room is broken.|
landscape|/ˈlandskeɪp/|ландшафт|2026-04-05|learning|||The **landscape** here is beautiful.|She paints **landscapes**.|The **landscape** changed after the storm.|
lecture|/ˈlɛk.t͡ʃə/|лекция|2026-04-05|learning|||The **lecture** starts at ten.|She gave a great **lecture**.|I fell asleep during the **lecture**.|
lemon|/ˈlɛmən/|лимон|2026-04-05|learning|||I like tea with **lemon**.|She squeezed a **lemon** into the water.|This **lemon** is very sour.|
liberal|/ˈlɪbɹəl/|либеральный|2026-04-05|learning|||He has **liberal** views.|The **liberal** party won the vote.|She is very **liberal** in her ideas.|
limit|/ˈlɪmt/|лимит|2026-04-05|learning|||There is a speed **limit** here.|She reached her **limit**.|We have a time **limit**.|
logo|/ˈləʊɡəʊ/|логотип|2026-04-05|learning|||The company has a new **logo**.|I like the **logo** on the shirt.|She designed the **logo**.|
machine|/məˈʃin/|машина|2026-04-05|learning|||The **machine** is very loud.|She learned to use the **machine**.|The washing **machine** is broken.|
manager|/ˈmæn.ɪ.dʒə/|менеджер|2026-04-05|learning|||The **manager** of the shop helped me.|She is a good **manager**.|I spoke to the **manager** about the problem.|
marathon|/ˈmæɹəθən/|марафон|2026-04-05|learning|||He ran a **marathon** last year.|The **marathon** starts at seven.|She is training for a **marathon**.|
marketing||маркетинг|2026-04-05|learning|||She works in **marketing**.|**Marketing** is key for business.|The **marketing** campaign was great.|
material|/məˈtɪəɹɪəl/|материал|2026-04-05|learning|||The **material** is very soft.|She bought **material** for a dress.|We need more **material** for the project.|
mechanism|/ˈmɛkənɪzm/|механизм|2026-04-05|learning|||The **mechanism** is very complex.|She explained the **mechanism**.|The clock **mechanism** is broken.|
media|/ˈmiːdɪə/|медиа|2026-04-05|learning|||The **media** reported the news.|Social **media** is very popular.|She works in the **media** industry.|
medicine|/ˈmed(ɪ).sn̩/|медицина|2026-04-05|learning|||She studies **medicine** at university.|Take your **medicine** twice a day.|**Medicine** has improved a lot.|
melody|/ˈmel.ə.di/|мелодия|2026-04-05|learning|||The **melody** is very beautiful.|She played a simple **melody**.|I can't forget this **melody**.|
method|/ˈmɛθəd/|метод|2026-04-05|learning|||This is a new **method** of teaching.|She uses an old **method**.|The **method** is very effective.|
million|/ˈmɪljən/|миллион|2026-04-05|learning|||The city has two **million** people.|He won a **million** dollars.|**Millions** of people watched the show.|
minute|/ˈmɪnɪt/|минута|2026-04-05|learning|||Wait a **minute**, please.|The film starts in five **minutes**.|It takes ten **minutes** to walk there.|
modern|/ˈmɒd(ə)n/|современный|2026-04-05|learning|||The building is very **modern**.|She likes **modern** art.|**Modern** life is fast.|
moment|/ˈməʊmənt/|момент|2026-04-05|learning|||Wait a **moment**, please.|That was a special **moment**.|At that **moment**, the phone rang.|
monitor|/ˈmɒnɨtə/|монитор|2026-04-05|learning|||She stared at her **monitor** all day.|The **monitor** is too small.|He bought a new **monitor**.|
museum|/mjuːˈziːəm/|музей|2026-04-05|learning|||We visited a **museum** yesterday.|The **museum** is free on Sundays.|There are old paintings in the **museum**.|
music|/ˈmjuːzɪk/|музыка|2026-04-05|learning|||I listen to **music** every day.|She studies **music** at school.|What kind of **music** do you like?|
nation|/ˈneɪ.ʃən/|нация|2026-04-05|learning|||The whole **nation** celebrated.|She is proud of her **nation**.|Every **nation** has its own culture.|
normal|/ˈnɔːməl/|нормальный|2026-04-05|learning|||This is **normal** for winter.|Everything returned to **normal**.|It is **normal** to make mistakes.|
object|/ˈɒb.d͡ʒɛkt/|объект|2026-04-05|learning|||What is that **object** on the table?|The **object** of the game is to win.|She found a strange **object**.|
office|/ˈɑfɪs/|офис|2026-04-05|learning|||He works in an **office**.|The **office** opens at nine.|She left her bag in the **office**.|
opera|/ˈɒp.əɹ.ə/|опера|2026-04-05|learning|||We went to the **opera** last night.|She sings in the **opera**.|The **opera** house is very beautiful.|
operation|/ˌɒpəˈɹeɪʃən/|операция|2026-04-05|learning|||The **operation** was a success.|She had an **operation** on her knee.|The **operation** took three hours.|
optimist|/ˈɒptɪmɪst/|оптимист|2026-04-05|learning|||She is a real **optimist**.|An **optimist** sees the bright side.|Be an **optimist** — things will get better.|
orchestra|/ˈɔːkəstɹə/|оркестр|2026-04-05|learning|||The **orchestra** played beautifully.|She plays violin in the **orchestra**.|The **orchestra** has 80 musicians.|
park|[paːk]|парк|2026-04-05|learning|||We walk in the **park** every evening.|The **park** is very beautiful in spring.|Children play in the **park**.|
parliament|/ˈpɑːləmənt/|парламент|2026-04-05|learning|||The **parliament** passed a new law.|She is a member of **parliament**.|The **parliament** building is very old.|
partner|/ˈpɐːtnə/|партнёр|2026-04-05|learning|||He is my business **partner**.|She danced with her **partner**.|They are **partners** in the project.|
passport|/ˈpɑːspɔːt/|паспорт|2026-04-05|learning|||Don't forget your **passport**.|My **passport** is valid for ten years.|She lost her **passport** at the airport.|
pause|/pɔːz/|пауза|2026-04-05|learning|||Let's take a short **pause**.|She made a **pause** before speaking.|**Pause** the video, please.|
period|/ˈpɪəɹɪəd/|период|2026-04-05|learning|||This was a difficult **period**.|The **period** of the exam is two hours.|She studied the Victorian **period**.|
pessimist|/ˈpɛsɪmɪst/|пессимист|2026-04-05|learning|||He is a **pessimist** about the future.|Don't be such a **pessimist**.|A **pessimist** always expects the worst.|
philosophy|/fɪˈlɒsəfi/|философия|2026-04-05|learning|||She studies **philosophy** at university.|His **philosophy** of life is simple.|**Philosophy** makes you think deeply.|
photo|/ˈfəʊ.təʊ/|фото|2026-04-05|learning|||She took a **photo** of the sunset.|Can I see your **photo**?|He posted the **photo** online.|
physics|/ˈfɪz.ɪks/|физика|2026-04-05|learning|||He studies **physics** at university.|**Physics** explains how things work.|She is good at **physics**.|
piano|/piˈænoʊ/|пианино|2026-04-05|learning|||She plays the **piano** very well.|He bought a new **piano**.|The **piano** sounds beautiful.|
pilot|/ˈpaɪlət/|пилот|2026-04-05|learning|||The **pilot** landed the plane safely.|She wants to be a **pilot**.|The **pilot** spoke to the passengers.|
pizza|/ˈpiːt.sə/|пицца|2026-04-05|learning|||Let's order a **pizza**.|This **pizza** is very tasty.|She makes great **pizza** at home.|
planet|/ˈplænət/|планета|2026-04-05|learning|||Earth is our **planet**.|Mars is a red **planet**.|There are eight **planets** in our system.|
plastic|/ˈplæstɪk/|пластик|2026-04-05|learning|||The bag is made of **plastic**.|We should use less **plastic**.|**Plastic** takes years to break down.|
platform|/ˈplætfɔːm/|платформа|2026-04-05|learning|||The train is on **platform** five.|She spoke from the **platform**.|The **platform** was very crowded.|
police|[pəˈliːs]|полиция|2026-04-05|learning|||Call the **police** right now!|The **police** arrived in five minutes.|She works for the **police**.|
political|/pəˈlɪtɪkəl/|политический|2026-04-05|learning|||It is a **political** question.|She has strong **political** views.|The **political** situation is difficult.|
popular|/ˈpɒpjʊlə/|популярный|2026-04-05|learning|||This song is very **popular**.|She is **popular** at school.|Pizza is a **popular** food.|
position|/pəˈzɪʃ(ə)n/|позиция|2026-04-05|learning|||She got a new **position** at work.|What is your **position** on this topic?|He changed his **position**.|
president|/ˈpɹɛzɨdənt/|президент|2026-04-05|learning|||The **president** gave a speech.|She is the **president** of the company.|The **president** met with world leaders.|
problem|/ˈpɹɒbləm/|проблема|2026-04-05|learning|||That is a big **problem**.|We need to solve this **problem**.|No **problem**, I can help you.|
process|/ˈpɹoʊsɛs/|процесс|2026-04-05|learning|||The **process** takes a long time.|She explained the **process** step by step.|Learning is a slow **process**.|
product|/ˈpɹɒd.əkt/|продукт|2026-04-05|learning|||This is our best **product**.|The **product** is made in Japan.|She tested the new **product**.|
profession|/pɹəˈfɛʃən/|профессия|2026-04-05|learning|||Teaching is a noble **profession**.|She chose her **profession** early.|What is your **profession**?|
professor|/pɹəˈfɛsə/|профессор|2026-04-05|learning|||The **professor** teaches history.|She is a famous **professor**.|I asked the **professor** a question.|
program|/ˈpɹoʊˌɡɹæm/|программа|2026-04-05|learning|||This **program** is very useful.|She wrote a computer **program**.|The TV **program** starts at eight.|
progress|/ˈpɹɒɡɹɛs/|прогресс|2026-04-05|learning|||She is making good **progress**.|**Progress** takes time.|We need to check our **progress**.|
project||проект|2026-04-05|learning|||He is working on a big **project**.|The **project** is almost done.|She started a new **project**.|
protest|/ˈpɹəʊ.tɛst/|протест|2026-04-05|learning|||People went to the **protest**.|She joined the **protest** march.|The **protest** was peaceful.|
psychology|/saɪˈkɒlədʒɪ/|психология|2026-04-05|learning|||She studies **psychology**.|**Psychology** helps us understand people.|He has a degree in **psychology**.|
radio|/ˈɹeɪdiˌəʊ/|радио|2026-04-05|learning|||I listen to the **radio** in the car.|Turn on the **radio**, please.|She works at a **radio** station.|
reaction|/ɹiˈækʃən/|реакция|2026-04-05|learning|||His **reaction** was very quick.|What was her **reaction**?|The **reaction** surprised everyone.|
reform|/ɹɪˈfɔːm/|реформа|2026-04-05|learning|||The government plans a **reform**.|Education **reform** is needed.|She supports the **reform**.|
religion|/ɹɪˈlɪdʒən/|религия|2026-04-05|learning|||**Religion** is important to many people.|She studies **religion** at university.|People of all **religions** live here.|
resort|/ɹɨˈzɔ(ɹ)t/|курорт|2026-04-05|learning|||We stayed at a beach **resort**.|The **resort** has a nice pool.|It is a ski **resort** in the mountains.|
restaurant|/ˈɹɛs.t(ə).ɹ(ə)nt/|ресторан|2026-04-05|learning|||We had dinner at a **restaurant**.|The **restaurant** is very popular.|She works in a French **restaurant**.|
result|/ɹɪˈzʌlt/|результат|2026-04-05|learning|||The **result** of the test was good.|We are waiting for the **results**.|Hard work brings good **results**.|
revolution|/ˌɹɛvəˈl(j)uːʃən/|революция|2026-04-05|learning|||The **revolution** changed the country.|It was a technology **revolution**.|She studied the French **Revolution**.|
risk|/ɹɪsk/|риск|2026-04-05|learning|||There is a **risk** of rain today.|She took a big **risk**.|Is it worth the **risk**?|
robot|/ˈɹoʊbət/|робот|2026-04-05|learning|||The **robot** can clean the house.|He built a small **robot**.|**Robots** help in factories.|
role|/ɹəʊl/|роль|2026-04-05|learning|||She plays the main **role** in the film.|He has an important **role** at work.|What is your **role** in the team?|
salad|/ˈsæləd/|салат|2026-04-05|learning|||I had a green **salad** for lunch.|She makes a great fruit **salad**.|Would you like some **salad**?|
scandal|/ˈskændəl/|скандал|2026-04-05|learning|||The **scandal** was in all the news.|It was a big **scandal**.|The **scandal** shocked everyone.|
